indices,size,bsz,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_TOT_CYC,time,PAPI_FP_OPS,PAPI_TLB_IM,PAPI_TLB_DM
ijk,1000,32,10101668,6251000,9925367478,3.113803,10079838,6307684,9904229523
ikj,1000,32,11710504,7034993,14703059443,4.613538,11641600,7027569,14580432908
ijk,1000,36,8660293,5136950,10543279991,3.306856,8616297,5128591,10529799657
ijk,2000,32,60550659,40221676,78905681561,24.776966,60026127,40031445,78626438894
ikj,2000,32,91818354,55256612,116773641471,36.630037,92062498,55368402,116854263529
ijk,2000,36,54141304,33155369,83890591828,26.313791,54617027,33247420,84033587219
ijk,3000,32,199073917,134664448,267528463467,83.939688,199466793,134675838,267305643531
ikj,3000,32,309986863,185339388,394232655257,123.686621,310342101,185450511,394098057400
ijk,3000,36,185943914,112253865,284893805536,89.393566,186574737,112313875,284963755082
ijk,4000,32,518836208,319443314,629548418181,197.495082,519742052,319661748,629645548965
ikj,4000,32,710622753,439252134,937199590035,294.016056,711076266,439355438,936058469313
ijk,4000,36,439992858,265981275,672118948300,210.773920,440991360,266245758,672468171393
ijk,5000,32,935689645,623549670,1238660302796,388.512403,935707419,623611642,1238676634360
ikj,5000,32,1453090390,861005465,1832128400326,574.622677,1455273210,861028885,1834499930199
ijk,5000,36,854903268,514964189,1318673195971,413.565097,854384621,514747227,1318655571803
