indices,size,bsz,PAPI_FP_OPS,PAPI_TLB_IM,PAPI_TLB_DM,time
ijk,1000,32,10079838,6307684,9904229523,3.105830
ikj,1000,32,11641600,7027569,14580432908,4.572311
ijk,1000,36,8616297,5128591,10529799657,3.301969
ijk,2000,32,60026127,40031445,78626438894,24.654081
ikj,2000,32,92062498,55368402,116854263529,36.655766
ijk,2000,36,54617027,33247420,84033587219,26.359943
ijk,3000,32,199466793,134675838,267305643531,83.822241
ikj,3000,32,310342101,185450511,394098057400,123.603823
ijk,3000,36,186574737,112313875,284963755082,89.378439
ijk,4000,32,519742052,319661748,629645548965,197.499473
ikj,4000,32,711076266,439355438,936058469313,293.673403
ijk,4000,36,440991360,266245758,672468171393,210.901601
ijk,5000,32,935707419,623611642,1238676634360,388.495563
ikj,5000,32,1455273210,861028885,1834499930199,575.571604
ijk,5000,36,854384621,514747227,1318655571803,413.573173
