indices,size,bsz,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_TOT_CYC,time,PAPI_FP_OPS,PAPI_TLB_IM,PAPI_TLB_DM
ijk,1000,32,10142050,6328710,9905604971,3.105786,10131636,6290925,9900545667
ikj,1000,32,11673131,7026299,14682457266,4.604022,11679570,7012388,14684955420
ijk,1000,52,8904129,3421555,10246594816,3.212962,8932884,3436784,10251062396
ijk,2000,32,60141595,40056152,78666020146,24.685223,60600649,40215380,79125499579
ikj,2000,32,91817294,55289019,116085523017,36.689114,91820864,55286129,116624444016
ijk,2000,52,48998053,22548826,81811697864,25.812109,48755579,22421553,81569510350
ijk,3000,32,200592345,134779747,267357628978,83.828863,200945171,134852382,267613913084
ikj,3000,32,310278113,185370935,396852191380,124.522790,310206335,185365654,396611753252
ijk,3000,52,160270994,74785920,277703263025,87.782607,160402258,74778868,277106174005
ijk,4000,32,520935970,319772119,631837622915,198.841502,519804319,319427164,629284857560
ikj,4000,32,708853378,439414094,942297217295,295.734005,709210944,439443674,943445657279
ijk,4000,52,372663218,176555802,656102766480,206.029334,372688584,176396772,655606852499
ijk,5000,32,939461255,623559755,1238640773990,389.986527,940000129,623702866,1238714995271
ikj,5000,32,1455969972,860501997,1845285329400,578.670652,1457404519,860456264,1846314233923
ijk,5000,52,725774994,346106473,1282767190715,406.078882,726207702,346490477,1282034131393
