indices,size,bsz,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_TOT_CYC,time
ijk,1000,32,10142050,6328710,9905604971,3.105786
ikj,1000,32,11673131,7026299,14682457266,4.604022
ijk,1000,52,8904129,3421555,10246594816,3.212962
ijk,2000,32,60141595,40056152,78666020146,24.685223
ikj,2000,32,91817294,55289019,116085523017,36.689114
ijk,2000,52,48998053,22548826,81811697864,25.812109
ijk,3000,32,200592345,134779747,267357628978,83.828863
ikj,3000,32,310278113,185370935,396852191380,124.522790
ijk,3000,52,160270994,74785920,277703263025,87.782607
ijk,4000,32,520935970,319772119,631837622915,198.841502
ikj,4000,32,708853378,439414094,942297217295,295.734005
ijk,4000,52,372663218,176555802,656102766480,206.029334
ijk,5000,32,939461255,623559755,1238640773990,389.986527
ikj,5000,32,1455969972,860501997,1845285329400,578.670652
ijk,5000,52,725774994,346106473,1282767190715,406.078882
