indices,size,bsz,PAPI_FP_OPS,PAPI_TLB_IM,PAPI_TLB_DM,time
ijk,1000,32,10131636,6290925,9900545667,3.104235
ikj,1000,32,11679570,7012388,14684955420,4.603625
ijk,1000,52,8932884,3436784,10251062396,3.213717
ijk,2000,32,60600649,40215380,79125499579,24.830570
ikj,2000,32,91820864,55286129,116624444016,36.564214
ijk,2000,52,48755579,22421553,81569510350,25.570870
ijk,3000,32,200945171,134852382,267613913084,83.918082
ikj,3000,32,310206335,185365654,396611753252,124.378262
ijk,3000,52,160402258,74778868,277106174005,86.895655
ijk,4000,32,519804319,319427164,629284857560,197.319999
ikj,4000,32,709210944,439443674,943445657279,295.996518
ijk,4000,52,372688584,176396772,655606852499,205.567582
ijk,5000,32,940000129,623702866,1238714995271,388.478253
ikj,5000,32,1457404519,860456264,1846314233923,579.027674
ijk,5000,52,726207702,346490477,1282034131393,401.994057
